drug_name,symptom_name,original_symptom,source
Metformin,trouble breathing,Trouble breathing,https://www.drugs.com/search.php?searchterm=Metformin
Metformin,stomach discomfort,Stomach discomfort,https://www.drugs.com/search.php?searchterm=Metformin
Metformin,pain,pain,https://www.drugs.com/search.php?searchterm=Metformin
Metformin,nausea,nausea,https://www.drugs.com/search.php?searchterm=Metformin
Metformin,vomiting,vomiting,https://www.drugs.com/search.php?searchterm=Metformin
Metformin,diarrhea,diarrhea,https://www.drugs.com/search.php?searchterm=Metformin
Metformin,feeling cold,Feeling cold,https://www.drugs.com/search.php?searchterm=Metformin
Metformin,feeling dizzy,Feeling dizzy,https://www.drugs.com/search.php?searchterm=Metformin
Metformin,irregular heartbeat,irregular heartbeat,https://www.drugs.com/search.php?searchterm=Metformin
Atorvastatin,fatigue,fatigue,https://www.drugs.com/search.php?searchterm=Atorvastatin
Atorvastatin,chest pain,chest pain,https://www.drugs.com/search.php?searchterm=Atorvastatin
Atorvastatin,shortness of breath,shortness of breath or risk factors for heart disease,https://www.drugs.com/search.php?searchterm=Atorvastatin
Amoxicillin,fever,fever,https://www.drugs.com/search.php?searchterm=Amoxicillin
Amoxicillin,sore throat,sore throat,https://www.drugs.com/search.php?searchterm=Amoxicillin
Amoxicillin,cough,cough,https://www.drugs.com/search.php?searchterm=Amoxicillin
Amoxicillin,ear pain,ear pain,https://www.drugs.com/search.php?searchterm=Amoxicillin
Amoxicillin,nasal congestion,nasal congestion,https://www.drugs.com/search.php?searchterm=Amoxicillin
Amoxicillin,chest discomfort,chest discomfort,https://www.drugs.com/search.php?searchterm=Amoxicillin
Amoxicillin,urinary symptoms,urinary symptoms,https://www.drugs.com/search.php?searchterm=Amoxicillin
Amoxicillin,skin redness,skin redness,https://www.drugs.com/search.php?searchterm=Amoxicillin
Paracetamol,headaches,headaches,https://www.drugs.com/search.php?searchterm=Paracetamol
Paracetamol,muscle aches,muscle aches,https://www.drugs.com/search.php?searchterm=Paracetamol
Paracetamol,toothache,toothache,https://www.drugs.com/search.php?searchterm=Paracetamol
Paracetamol,menstrual cramps,menstrual cramps,https://www.drugs.com/search.php?searchterm=Paracetamol
Paracetamol,backache,backache and fever,https://www.drugs.com/search.php?searchterm=Paracetamol
Paracetamol,fever,backache and fever,https://www.drugs.com/search.php?searchterm=Paracetamol
Losartan,headache,oftern none sometimes may include headache,https://www.mayoclinic.org/drugs-supplements/losartan-oral-route/description/drg-20067341
Losartan,dizziness,dizziness,https://www.mayoclinic.org/drugs-supplements/losartan-oral-route/description/drg-20067341
Losartan,fatigue,fatigue if BP is high,https://www.mayoclinic.org/drugs-supplements/losartan-oral-route/description/drg-20067341
Simvastatin,chest pain,sometimes chest pain,https://www.mayoclinic.org/drugs-supplements/simvastatin-and-niacin-oral-route/description/drg-20071610
Simvastatin,fatigue,fatigue,https://www.mayoclinic.org/drugs-supplements/simvastatin-and-niacin-oral-route/description/drg-20071610
Simvastatin,xanthomas, xanthomas (rare),https://www.mayoclinic.org/drugs-supplements/simvastatin-and-niacin-oral-route/description/drg-20071610
Azithromycin,fever,Fever,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,chills,chills,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,fatigue,fatigue,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,pain at infection site,localized pain or inflammation depending on the infection site,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,inflammation at infection site,localized pain or inflammation depending on the infection site,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Insulin,high blood sugar,High blood sugar: thirst,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,thirst,High blood sugar: thirst,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,frequent urination,frequent urination,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,fatigue,fatigue,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,low blood sugar,Low blood sugar: shakiness,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,shakiness,Low blood sugar: shakiness,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,sweating,sweating,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,confusion,confusion,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Codeine,pain,Pain,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
