drug_name,normalized_condition,original_condition,source
Metformin,glucose production,"Type 2 Diabetes, reduces glucose absorption from the intestines, lowers liver glucose production, and improves insulin sensitivity",Drugs.com
Metformin,insulin sensitivity,"Type 2 Diabetes, reduces glucose absorption from the intestines, lowers liver glucose production, and improves insulin sensitivity",Drugs.com
Morphine,pain,Severe Pain,WHO
Naproxen,arthritis,Arthritis,NIPH
Omeprazole,heartburn,"heartburn, and to treat related conditions such as ulcers, tissue damage and infection with the bacteria called H. pylori.",Drugbank
Omeprazole,ulcers,"heartburn, and to treat related conditions such as ulcers, tissue damage and infection with the bacteria called H. pylori.",Drugbank
Omeprazole,tissue damage,"heartburn, and to treat related conditions such as ulcers, tissue damage and infection with the bacteria called H. pylori.",Drugbank
Omeprazole,pylori,"heartburn, and to treat related conditions such as ulcers, tissue damage and infection with the bacteria called H. pylori.",Drugbank
Paracetamol,fever,"Fever, pain, headaches, colds/flu symptoms, arthritis pain, muscle aches, toothache, sore throat, menstrual pain",Drugs.com
Paracetamol,pain,"Fever, pain, headaches, colds/flu symptoms, arthritis pain, muscle aches, toothache, sore throat, menstrual pain",Drugs.com
Paracetamol,headaches,"Fever, pain, headaches, colds/flu symptoms, arthritis pain, muscle aches, toothache, sore throat, menstrual pain",Drugs.com
Paracetamol,colds/flu,"Fever, pain, headaches, colds/flu symptoms, arthritis pain, muscle aches, toothache, sore throat, menstrual pain",Drugs.com
Paracetamol,arthritis pain,"Fever, pain, headaches, colds/flu symptoms, arthritis pain, muscle aches, toothache, sore throat, menstrual pain",Drugs.com
Paracetamol,muscle aches,"Fever, pain, headaches, colds/flu symptoms, arthritis pain, muscle aches, toothache, sore throat, menstrual pain",Drugs.com
Paracetamol,toothache,"Fever, pain, headaches, colds/flu symptoms, arthritis pain, muscle aches, toothache, sore throat, menstrual pain",Drugs.com
Paracetamol,sore throat,"Fever, pain, headaches, colds/flu symptoms, arthritis pain, muscle aches, toothache, sore throat, menstrual pain",Drugs.com
Paracetamol,menstrual pain,"Fever, pain, headaches, colds/flu symptoms, arthritis pain, muscle aches, toothache, sore throat, menstrual pain",Drugs.com
Prednisone,inflammation,Inflammation,NIPH
Ranitidine,ulcers,Ulcers,WHO
Simvastatin,high cholesterol,"High cholesterol, high triglycerides, prevention of heart attacks and strokes",MayoClinic
Simvastatin,high triglycerides,"High cholesterol, high triglycerides, prevention of heart attacks and strokes",MayoClinic
Simvastatin,heart attacks,"High cholesterol, high triglycerides, prevention of heart attacks and strokes",MayoClinic
Simvastatin,strokes,"High cholesterol, high triglycerides, prevention of heart attacks and strokes",MayoClinic
Warfarin,blood clot,Blood Clot,NIPH
