drug_name,sideeffect_name,original_sideeffect,source
Simvastatin,rash,rash,https://www.mayoclinic.org/drugs-supplements/simvastatin-and-niacin-oral-route/description/drg-20071610
Simvastatin,unpleasant breath odor,unpleasant breath odor,https://www.mayoclinic.org/drugs-supplements/simvastatin-and-niacin-oral-route/description/drg-20071610
Simvastatin,unusual tiredness,unusual tiredness/weakness,https://www.mayoclinic.org/drugs-supplements/simvastatin-and-niacin-oral-route/description/drg-20071610
Simvastatin,weakness,unusual tiredness/weakness,https://www.mayoclinic.org/drugs-supplements/simvastatin-and-niacin-oral-route/description/drg-20071610
Simvastatin,vomiting blood,vomiting blood,https://www.mayoclinic.org/drugs-supplements/simvastatin-and-niacin-oral-route/description/drg-20071610
Simvastatin,yellow eyes,yellow eyes/skin (liver damage or rhabdomyolysis),https://www.mayoclinic.org/drugs-supplements/simvastatin-and-niacin-oral-route/description/drg-20071610
Simvastatin,yellow skin,yellow eyes/skin (liver damage or rhabdomyolysis),https://www.mayoclinic.org/drugs-supplements/simvastatin-and-niacin-oral-route/description/drg-20071610
Simvastatin,redness of face,More common: Flushing (warmth/redness of face,https://www.mayoclinic.org/drugs-supplements/simvastatin-and-niacin-oral-route/description/drg-20071610
Simvastatin,neck,More common: Flushing (warmth/redness of neck,https://www.mayoclinic.org/drugs-supplements/simvastatin-and-niacin-oral-route/description/drg-20071610
Simvastatin,arms,More common: Flushing (warmth/redness of arms,https://www.mayoclinic.org/drugs-supplements/simvastatin-and-niacin-oral-route/description/drg-20071610
Simvastatin,chest,More common: Flushing (warmth/redness of chest,https://www.mayoclinic.org/drugs-supplements/simvastatin-and-niacin-oral-route/description/drg-20071610
Simvastatin,back pain,Less common: Back pain,https://www.mayoclinic.org/drugs-supplements/simvastatin-and-niacin-oral-route/description/drg-20071610
Simvastatin,diarrhea,diarrhea,https://www.mayoclinic.org/drugs-supplements/simvastatin-and-niacin-oral-route/description/drg-20071610
Simvastatin,itchy skin,itchy skin,https://www.mayoclinic.org/drugs-supplements/simvastatin-and-niacin-oral-route/description/drg-20071610
Azithromycin,pain,More common: Pain,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,redness,redness,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,swelling at injection site,swelling at injection site,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,difficulty breathing,Less common: Difficulty breathing,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,loose stools,loose stools,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,chest tightness,chest tightness,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,abdominal cramps,Rare: Severe abdominal cramps,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,watery diarrhea,watery/bloody diarrhea,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,bloody diarrhea,watery/bloody diarrhea,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,fever,fever,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,joint pain,joint pain,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,swelling of face,swelling of face/mouth/hands/feet,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,swelling  mouth,swelling of face/mouth/hands/feet,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,swelling hands,swelling of face/mouth/hands/feet,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,swelling feet,swelling of face/mouth/hands/feet,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,rash,severe rash,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,black stools,Incidence not known: Black/tarry stools,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,bleeding gums,bleeding gums,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,blistering skin,blistering skin,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,chest pain,chest pain,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,fainting,fainting,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,irregular heartbeat,irregular heartbeat,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,yellow eyes,yellow eyes/skin (liver damage),https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,yellow skin,yellow eyes/skin (liver damage),https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,nausea,nausea,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,vomiting,vomiting,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,muscle pain,muscle pain,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,dizziness,dizziness,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,tiredness,unusual tiredness,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,swelling of legs,swelling of legs,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,sores in mouth,sores in mouth,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Azithromycin,hearing loss,hearing loss,https://www.mayoclinic.org/drugs-supplements/azithromycin-intravenous-route/description/drg-20062196
Insulin,anxiety,More common: Anxiety,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,blurred vision,blurred vision,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,chills,chills,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,cold sweats,cold sweats,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,confusion,confusion,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,dizziness,dizziness,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,fast heartbeat,fast heartbeat,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,headache,headache,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,hunger,hunger,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,nausea,nausea,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,nightmares,nightmares,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,seizures,seizures,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,shakiness,shakiness,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,slurred speech,slurred speech,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,unusual tiredness,unusual tiredness,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,swelling of face,Less common: Swelling of face/arms/hands/legs/feet,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,swelling of arms,Less common: Swelling of face/arms/hands/legs/feet,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,swelling of hands,Less common: Swelling of face/arms/hands/legs/feet,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,swelling of legs,Less common: Swelling of face/arms/hands/legs/feet,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,swelling of feet,Less common: Swelling of face/arms/hands/legs/feet,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,weight gain,rapid weight gain,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,tingling in hands,tingling in hands/feet,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,tingling in feet,tingling in hands/feet,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,fainting,Incidence not known: Fainting,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,hives,hives,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,irregular heartbeat,irregular heartbeat,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,loss of appetite,loss of appetite,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,muscle cramps,muscle cramps,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,swelling eyes,swelling around eyes/face/lips/tongue,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,swelling face,swelling around eyes/face/lips/tongue,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,swelling lips,swelling around eyes/face/lips/tongue,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,swelling tongue,swelling around eyes/face/lips/tongue,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,vomiting,vomiting,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,redness,Redness,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,pain,pain,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,itching,itching,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Insulin,swelling at injection site,or swelling at injection site,https://www.mayoclinic.org/drugs-supplements/insulin-aspart-and-insulin-degludec-subcutaneous-route/description/drg-20155716
Codeine,drowsiness,More common: Drowsiness,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,relaxed,relaxed/calm feeling,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,agitation,Incidence not known (serious): Agitation,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,bloating,bloating,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,blurred vision,blurred vision,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,chills,chills,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,clammy skin,cold clammy skin,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,confusion,confusion,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,constipation,constipation,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,cough,cough,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,dark urine,dark urine,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,diarrhea,diarrhea,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,difficulty swallowing,difficulty breathing/swallowing,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,difficulty breathing,difficulty breathing/swallowing,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,dizziness,dizziness,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,fainting,fainting,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,irregular heartbeat,irregular or slow heartbeat,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,fever,fever,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
