original_name,normalized_name
relaxed/calm feeling,relaxed/calm feeling
Incidence not known (serious): Agitation,agitation
bloating,bloating
cold clammy skin,cold clammy skin
constipation,constipation
difficulty breathing/swallowing,difficulty breathing/swallowing
irregular or slow heartbeat,irregular or slow heartbeat
hives/itching/rash,hives/itching/rash
pale or blue lips/fingernails/skin,pale or blue lips/fingernails/skin
puffiness/swelling of face/lips/tongue/eyelids,puffiness/swelling of face/lips/tongue/eyelids
shivering,shivering
sweating,sweating
tremors,tremors
unconsciousness,unconsciousness
yellow eyes/skin,yellow eyes/skin
Overdose symptoms: Extreme sleepiness,overdose symptoms extreme sleepiness
pinpoint pupils,pinpoint pupils
slow/irregular breathing,slow/irregular breathing
blue lips/skin,blue lips/skin
cold/clammy skin,cold/clammy skin
coughing with pink frothy sputum,coughing with pink frothy sputum
nervousness,nervousness
abdominal cramps,abdominal cramps
increased pulse and blood pressure,increased pulse and blood pressure
cardiac arrhythmias,cardiac arrhythmias
insomnia,insomnia
heat intolerance,heat intolerance
and menstrual irregularities.,and menstrual irregularities.
allergic reaction,allergic reaction
difficult breathing,difficult breathing
swelling of your face,swelling of your face
lips,lips
tongue,tongue
or throat,or throat
abdominal or stomach discomfort,abdominal or stomach discomfort
cough or hoarseness,cough or hoarseness
decreased appetite,decreased appetite
fast or shallow breathing,fast or shallow breathing
fever or chills,fever or chills
general feeling of discomfort,general feeling of discomfort
lower back or side pain,lower back or side pain
muscle pain or cramping,muscle pain or cramping
painful or difficult urination,painful or difficult urination
sleepiness,sleepiness
pain in your bones,pain in your bones
spine,spine
joints,joints
or muscles,or muscles
pain and burning when you urinate,pain and burning when you urinate
painful urination,painful urination
muscle spasms,muscle spasms
upset stomach,upset stomach
trouble sleeping,trouble sleeping
stuffy nose,stuffy nose
runny nose,runny nose
or pain in your arms or legs.,or pain in your arms or legs.
swelling in face or throat,swelling in face or throat
burning eyes,burning eyes
skin pain,skin pain
red or purple skin rash with blistering and peeling).,red or purple skin rash with blistering and peeling .
